mjd,band,flux,dflux,mag,dmag,snr,zpt,dzpt
57983.00306,i,195284.46,812.6,17.48,0.005,240.32,30.7068,0.0208
57983.00374,z,142533.91,940.7,17.59,0.007,151.52,30.475,0.022
57983.97635,Y,61486.3,460.4,17.315,0.008,133.55,29.2872,0.0176
57983.97703,z,142170.8,573.58,17.593,0.004,247.87,30.475,0.0176
57983.97771,i,147490.92,507.1,17.785,0.004,290.85,30.7068,0.0178
57983.9784,r,71022.29,329.0,18.041,0.005,215.87,30.1691,0.019
57983.97907,g,50318.37,329.77,18.664,0.007,152.59,30.4187,0.0208
57983.97976,u,1932.61,41.82,19.939,0.023,46.21,28.1545,0.0316
57984.97465,Y,40372.5,576.79,17.772,0.015,70.0,29.2872,0.0169
57984.97569,z,82683.98,878.98,18.181,0.011,94.07,30.475,0.0185
57984.97639,i,84986.48,781.72,18.383,0.01,108.72,30.7068,0.0216
57984.97708,r,28424.92,379.54,19.035,0.014,74.89,30.1691,0.0194
57984.97777,g,13869.86,375.05,20.209,0.029,36.98,30.5644,0.021
57984.98002,u,227.81,29.09,22.261,0.13,7.83,28.1545,0.0289
57985.98258,Y,31150.41,497.02,18.054,0.017,62.67,29.2872,0.0177
57985.98361,z,58270.2,831.93,18.561,0.015,70.04,30.475,0.0182
57985.9841,u,108.94,33.24,23.062,0.289,3.28,28.155,0.0314
57985.98427,i,57865.07,692.84,18.725,0.013,83.52,30.6314,0.0186
57985.98496,r,23995.08,514.02,19.29,0.023,46.68,30.2408,0.0205
57985.98564,g,7275.76,428.94,20.928,0.062,16.96,30.5832,0.0207
57986.97524,Y,23635.15,343.73,18.353,0.016,68.76,29.2872,0.0144
57986.97767,z,46426.33,366.24,18.808,0.009,126.76,30.475,0.0184
57986.98008,i,39231.43,266.87,19.223,0.007,147.01,30.7068,0.0188
57986.98369,r,9265.4,250.58,20.252,0.029,36.98,30.1691,0.0195
57986.99095,g,2986.71,263.24,21.731,0.092,11.35,30.4187,0.0198
57987.97454,Y,15192.53,2342.57,18.833,0.156,6.49,29.2872,0.0241
57987.97695,z,33121.52,2733.68,19.175,0.086,12.12,30.475,0.0199
57987.97936,i,28953.82,4492.92,19.553,0.157,6.44,30.7068,0.0252
57987.98298,r,5624.24,1265.36,20.794,0.22,4.44,30.1691,0.0221
57987.99024,g,2259.33,993.79,22.034,0.396,2.27,30.4187,0.0268
57988.97428,Y,12300.3,3552.56,19.062,0.275,3.46,29.2872,0.0309
57988.98538,r,4881.96,1705.98,20.948,0.325,2.86,30.1691,0.0271
57988.99624,g,2160.75,1226.12,22.082,0.488,1.76,30.4187,0.0275
57989.97335,Y,8282.1,263.33,19.439,0.034,31.45,29.2346,0.0147
57989.97939,z,17124.23,484.5,19.887,0.03,35.34,30.4707,0.018
57989.98181,i,11370.17,346.26,20.542,0.033,32.84,30.6815,0.018
57989.98664,r,3959.56,335.25,21.226,0.088,11.81,30.2202,0.0191
57989.99748,g,835.18,290.5,23.276,0.324,2.87,30.5807,0.0191
57990.97316,Y,4737.81,243.6,20.055,0.054,19.45,29.2442,0.0147
57990.98282,z,11091.75,400.41,20.399,0.039,27.7,30.5117,0.0185
57990.98765,i,10100.67,369.36,20.724,0.039,27.35,30.7347,0.0185
57990.99729,r,1967.25,313.98,21.952,0.161,6.27,30.1866,0.0192
57991.97422,Y,2537.02,210.77,20.776,0.087,12.04,29.2872,0.0189
57991.99444,z,5183.81,250.42,21.188,0.051,20.7,30.475,0.0185
57991.99967,i,5411.47,194.41,21.37,0.038,27.84,30.7028,0.0182
57992.9747,Y,1113.54,210.6,21.67,0.188,5.29,29.2872,0.0182
57992.98677,z,2320.11,246.24,22.061,0.11,9.42,30.475,0.019
57993.00002,i,2133.87,172.76,22.384,0.085,12.35,30.7068,0.0185
