mjd,band,flux,dflux,mag,dmag,snr
57984.00022,H,88715.6,5710.43,17.63,0.07,15.54
57984.96775,H,82413.81,4546.97,17.71,0.06,18.12
57986.97338,H,67920.36,4371.89,17.92,0.07,15.54
57989.9661,H,30478.95,3082.93,18.79,0.11,9.89
57990.98,H,20511.62,2829.19,19.22,0.15,7.25
57991.97771,H,14190.58,1565.86,19.62,0.12,9.06
57992.97789,Ks,42461.96,8590.0,18.43,0.22,4.94
57992.98133,H,9638.29,1063.54,20.04,0.12,9.06
57993.98334,Ks,24434.31,3145.57,19.03,0.14,7.77
57994.97545,Ks,17060.82,2039.45,19.42,0.13,8.37
57995.96973,Ks,14060.48,2585.83,19.63,0.2,5.44
57996.97443,Ks,10964.78,1814.86,19.9,0.18,6.04
57997.97566,Ks,8871.56,1794.71,20.13,0.22,4.94
57998.97475,Ks,6729.77,1670.84,20.43,0.27,4.03
58000.9783,Ks,4613.18,975.66,20.84,0.23,4.73
